model_year,transmission_family_code,transmission_family,vehicle_records,average_co2_g_km,average_combined_l_100km,average_engine_size_l
2015,AV,Continuously Variable,80,185.95,8.084999999999999,2.335
2015,M,Manual,216,224.67592592592592,9.758796296296296,2.5777777777777775
2016,A,Automatic,215,275.69767441860466,12.515348837209304,3.9013953488372093
2016,AM,Automated Manual,92,251.65217391304347,10.784782608695652,3.239130434782609
2016,AS,Automatic with Select Shift,518,254.03861003861005,10.980888030888032,3.107142857142857
2016,AV,Continuously Variable,85,188.56470588235294,8.06235294117647,2.327058823529412
2016,M,Manual,200,227.075,9.714,2.5585
2017,A,Automatic,234,278.14529914529913,12.44017094017094,3.8995726495726495
2017,AM,Automated Manual,78,243.01282051282053,10.416666666666666,2.9461538461538463
2017,AS,Automatic with Select Shift,475,257.4294736842105,11.134526315789472,3.1442105263157893
2017,AV,Continuously Variable,89,187.58426966292134,8.01685393258427,2.207865168539326
2017,M,Manual,182,227.5,9.726373626373627,2.5
2018,A,Automatic,267,277.26591760299624,12.288014981273408,3.8606741573033707
2018,AM,Automated Manual,125,247.152,10.564,3.0056
2018,AS,Automatic with Select Shift,443,254.54853273137698,11.011060948081264,3.0927765237020313
2018,AV,Continuously Variable,82,183.6219512195122,7.847560975609756,2.214634146341463
2018,M,Manual,166,229.1867469879518,9.779518072289157,2.483734939759036
2019,A,Automatic,276,279.72463768115944,12.253260869565217,3.834057971014493
2019,AM,Automated Manual,121,245.5206611570248,10.509090909090908,2.871074380165289
2019,AS,Automatic with Select Shift,432,254.53935185185185,11.000231481481482,3.069212962962963
2019,AV,Continuously Variable,86,180.19767441860466,7.701162790697674,2.181395348837209
2019,M,Manual,141,233.9078014184397,9.991489361702127,2.5666666666666664
2020,A,Automatic,259,278.26254826254825,12.051351351351352,3.7772200772200772
2020,AM,Automated Manual,116,259.67241379310343,11.099137931034482,3.0163793103448273
2020,AS,Automatic with Select Shift,413,259.17917675544794,11.170217917675545,3.1343825665859564
2020,AV,Continuously Variable,88,178.5909090909091,7.618181818181818,2.15
2020,M,Manual,99,237.010101010101,10.118181818181819,2.672727272727273
2021,A,Automatic,294,285.187074829932,12.1,3.853061224489796
2021,AM,Automated Manual,127,271.79527559055117,11.581889763779529,3.159055118110236
2021,AS,Automatic with Select Shift,382,259.5104712041885,11.192146596858638,3.10130890052356
2021,AV,Continuously Variable,86,173.58139534883722,7.404651162790697,2.124418604651163
2021,M,Manual,81,239.76543209876544,10.237037037037037,2.714814814814815
2022,A,Automatic,273,289.5531135531136,12.326007326007327,3.8523809523809525
2022,AM,Automated Manual,132,261.81060606060606,11.153030303030304,2.993181818181818
2022,AS,Automatic with Select Shift,368,263.25,11.341847826086957,3.185326086956522
2022,AV,Continuously Variable,96,175.71875,7.494791666666667,2.1020833333333333
2022,M,Manual,90,248.2888888888889,10.616666666666667,2.8200000000000003
2023,A,Automatic,211,283.77251184834125,12.118957345971564,3.740758293838862
2023,AM,Automated Manual,78,244.16666666666666,10.434615384615384,2.85
2023,AS,Automatic with Select Shift,355,264.54084507042256,11.423380281690141,3.1977464788732397
2023,AV,Continuously Variable,91,175.2087912087912,7.478021978021978,2.0813186813186815
2023,M,Manual,64,247.46875,10.56875,2.8453125
